symbol,strategy,timeFrame,signalDate,entryPrice,rsiDaily,rsiWeekly,rsiMonthly,volume,pattern,return5D,return10D,return20D,return40D,maxDrawdown,maxGain,outcome
WSI,RSITTF,D,2023-08-28,107.60,44.53,62.24,99.26,7025,,-0.42,5.86,-8.97,-5.76,-13.20,11.25,Loss
WSI,RSITTF,D,2023-08-31,107.10,44.84,62.24,80.70,16041,,-1.03,8.03,-0.75,-6.68,-12.79,11.76,Win
ICRA,RSITTF,D,2023-09-04,5685.00,44.14,63.02,78.43,32594,,0.70,-0.22,-4.22,-5.12,-10.64,2.73,Win
ZYDUSLIFE,RSITTF,D,2023-09-04,620.50,44.24,67.59,63.35,1201335,,1.30,3.69,-2.48,-6.88,-8.50,5.38,Win
SULA,RSITTF,D,2023-09-05,484.50,44.93,63.91,78.33,894465,,-1.61,-0.93,-2.13,-2.07,-7.74,1.96,Win
DRREDDY,RSITTF,D,2023-09-06,1116.66,43.90,65.92,63.77,2256645,,2.79,1.53,-2.84,-4.39,-6.77,4.65,Win
MARKSANS,RSITTF,D,2023-09-06,108.10,44.54,73.30,71.36,1561031,,-2.59,-3.70,0.93,8.19,-9.85,28.40,Loss
KSOLVES,RSITTF,D,2023-09-07,557.20,44.47,66.60,78.70,91890,,-5.99,-4.64,-6.99,-5.03,-10.27,7.68,Loss
SEPC,RSITTF,D,2023-09-07,11.95,43.60,62.83,66.31,9459219,,-0.33,0.00,15.23,78.74,-5.36,96.57,Loss
ACE,RSITTF,D,2023-09-07,712.90,44.13,80.55,88.81,294878,,-1.20,-4.93,-2.78,17.06,-9.62,25.50,Win
ACE,RSITTF,D,2023-09-08,714.40,44.62,70.70,88.81,146659,,-1.06,-6.19,-2.17,18.50,-9.81,25.24,Loss
AARON,RSITTF,D,2023-09-11,126.50,44.89,62.62,79.69,1044,,-0.40,-2.96,8.70,3.95,-4.35,20.50,Loss
NEULANDLAB,RSITTF,D,2023-09-13,3587.90,44.87,68.60,79.62,42638,,-0.37,5.85,7.47,49.01,-1.84,53.97,Loss
AARON,RSITTF,D,2023-09-13,126.13,44.32,62.62,79.69,430,,-0.30,-3.87,9.01,7.55,-4.07,20.85,Win
ALBERTDAVD,RSITTF,D,2023-09-13,752.70,43.07,67.57,65.07,17242,,-1.29,2.38,11.55,12.87,-3.51,25.51,Win
NESCO,RSITTF,D,2023-09-13,682.00,44.42,74.00,67.70,112030,,1.02,0.67,-1.59,15.98,-9.67,23.46,Loss
TALBROAUTO,RSITTF,D,2023-09-13,193.71,44.45,76.33,81.09,306420,,-4.23,7.38,10.45,25.16,-4.87,45.42,Win
VOLTAMP,RSITTF,D,2023-09-13,4980.20,43.30,68.64,83.09,71399,,0.50,-10.86,-8.67,5.38,-15.42,8.96,Win
HINDCON,RSITTF,D,2023-09-14,25.04,41.07,75.09,73.75,65334,,-1.36,4.19,6.95,21.21,-6.75,47.16,Loss
AARON,RSITTF,D,2023-09-14,126.30,44.74,62.62,79.69,192,,-1.03,-2.07,12.43,5.68,-4.20,20.69,Win
BECTORFOOD,RSITTF,D,2023-09-14,195.19,44.87,81.56,88.64,1142880,,1.33,6.84,16.07,37.28,-5.12,40.78,Loss
JASH,RSITTF,D,2023-09-14,274.00,44.12,82.00,92.61,48150,,-4.16,-1.82,9.16,-2.21,-8.69,11.94,Loss
KRITINUT,RSITTF,D,2023-09-14,75.75,43.36,71.30,72.21,21177,,-3.56,-1.65,2.71,-4.29,-7.19,13.14,Loss
ENGINERSIN,RSITTF,D,2023-09-14,148.25,44.43,84.01,77.87,2458924,,-2.77,-0.54,-6.24,-1.25,-21.45,4.18,Win
ACE,RSITTF,D,2023-09-14,704.35,44.66,70.70,88.81,200043,,-3.78,-2.25,-0.02,21.83,-7.18,27.07,Win
